id,dbf_id,name,text,card_set,data_first_seen,set_release_date,type,card_class,classes,rarity,cost,attack,health,durability,armor,spell_school,races,mechanics,artist,legendary,n_balance_changes,is_reprint,n_printings,original_id,flavor
EX1_009,1688,Angry Chicken,Has +5 Attack while damaged.,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,RARE,1,1,1,0,0,NONE,BEAST,,Mike Sass,False,1,False,2,EX1_009,There is no beast more frightening (or ridiculous) than a fully enraged chicken.
EX1_277,564,Arcane Missiles,Deal 3 damage randomly split among all enemies.,LEGACY,2013-01-13,,SPELL,MAGE,MAGE,FREE,1,0,0,0,0,ARCANE,,,Warren Mahy,False,3,False,2,EX1_277,You'd think you'd be able to control your missiles a little better since you're a powerful mage and all.
DS1_185,877,Arcane Shot,Deal 2 damage.,LEGACY,2013-01-13,,SPELL,HUNTER,HUNTER,FREE,1,0,0,0,0,ARCANE,,,Luca Zontini,False,0,False,3,DS1_185,"Magi conjured arcane arrows to sell to hunters, until hunters learned just enough magic to do it themselves. The resulting loss of jobs sent Stormwind into a minor recession."
EX1_008,757,Argent Squire,Divine Shield,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,COMMON,1,1,1,0,0,NONE,,DIVINE_SHIELD,Zoltan & Gabor,False,0,False,3,EX1_008,"""I solemnly swear to uphold the Light, purge the world of darkness, and to eat only burritos."" - The Argent Dawn Oath"
EX1_549,903,Bestial Wrath,Give a friendly Beast +2 Attack and Immune this turn.,EXPERT1,2013-01-13,,SPELL,HUNTER,HUNTER,EPIC,1,0,0,0,0,NONE,,,Alex Horley Orlandelli,False,1,False,2,EX1_549,"The seething wrath is just beneath the surface. Beneath that is wild abandon, followed by slight annoyance."
CS2_087,70,Blessing of Might,Give a minion +3 Attack.,LEGACY,2013-01-13,,SPELL,PALADIN,PALADIN,FREE,1,0,0,0,0,HOLY,,,Zoltan Boros,False,1,False,2,CS2_087,"""As in, you MIGHT want to get out of my way."" - Toad Mackle, recently buffed."
EX1_363,1373,Blessing of Wisdom,"Choose a minion. Whenever it attacks, draw a card.",EXPERT1,2013-01-13,,SPELL,PALADIN,PALADIN,COMMON,1,0,0,0,0,HOLY,,,Chippy,False,0,False,2,EX1_363,Apparently with wisdom comes the knowledge that you should probably be attacking every turn.
CS2_059,469,Blood Imp,"Stealth. At the end of your turn, give another random friendly minion +1 Health.",EXPERT1,2013-01-13,,MINION,WARLOCK,WARLOCK,COMMON,1,0,1,0,0,NONE,DEMON,STEALTH,Bernie Kang,False,5,False,2,CS2_059,Imps are content to hide and viciously taunt everyone nearby.
NEW1_025,997,Bloodsail Corsair,Battlecry: Remove 1 Durability from your opponent's weapon.,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,RARE,1,1,2,0,0,NONE,PIRATE,BATTLECRY,Randy Gallegos,False,1,False,2,NEW1_025,"Every pirate uses the same four digits to access Automated Gold Dispensers. It's called the ""Pirate's Code""."
CS2_005,1050,Claw,Give your hero +2 Attack this turn. Gain 2 Armor.,LEGACY,2013-01-13,,SPELL,DRUID,DRUID,FREE,1,0,0,0,0,NONE,,,Dany Orizio,False,3,False,2,CS2_005,The claw decides who will stay and who will go.
CS2_073,268,Cold Blood,Give a minion +2 Attack. Combo: +4 Attack instead.,EXPERT1,2013-01-13,,SPELL,ROGUE,ROGUE,COMMON,1,0,0,0,0,NONE,,COMBO,Alex Horley Orlandelli,False,2,False,2,CS2_073,"""I'm cold blooded, check it and see!"""
EX1_128,990,Conceal,Give your minions Stealth until your next turn.,EXPERT1,2013-01-13,,SPELL,ROGUE,ROGUE,COMMON,1,0,0,0,0,SHADOW,,,Steve Hui,False,5,False,2,EX1_128,Rogues conceal everything but their emotions. You can't get 'em to shut up about feelings.
CS2_063,982,Corruption,"Choose an enemy minion. At the start of your turn, destroy it.",LEGACY,2013-01-13,,SPELL,WARLOCK,WARLOCK,FREE,1,0,0,0,0,SHADOW,,,Wayne Reynolds,False,0,False,2,CS2_063,"It starts with stealing a pen from work, and before you know it, BOOOM! Corrupted!"
CS2_074,459,Deadly Poison,Give your weapon +2 Attack.,LEGACY,2013-01-13,,SPELL,ROGUE,ROGUE,FREE,1,0,0,0,0,NATURE,,,Trevor Jacobs,False,1,False,3,CS2_074,"Rogues guard the secrets to poison-making carefully, lest magi start incorporating poison into their spells. Poisonbolt? Rain of Poison? Poison Elemental? Nobody wants that."
EX1_243,618,Dust Devil,Windfury. Overload: (2),EXPERT1,2013-01-13,,MINION,SHAMAN,SHAMAN,COMMON,1,3,1,0,0,NONE,ELEMENTAL,OVERLOAD|WINDFURY,Raymond Swanland,False,0,False,2,EX1_243,Westfall is full of dust devils. And buzzards. And crazed golems. And pirates. Why does anyone live here?
EX1_245,767,Earth Shock,"Silence a minion, then deal 1 damage to it.",EXPERT1,2013-01-13,,SPELL,SHAMAN,SHAMAN,COMMON,1,0,0,0,0,NATURE,,SILENCE,Kevin Chen,False,2,False,2,EX1_245,"Earth Shock? Shouldn't it be ""Azeroth Shock""?"
CS2_189,389,Elven Archer,Battlecry: Deal 1 damage.,LEGACY,2013-01-13,,MINION,NEUTRAL,NEUTRAL,FREE,1,1,1,0,0,NONE,,BATTLECRY,Steve Prescott,False,0,False,3,CS2_189,Don't bother asking her out on a date. She'll shoot you down.
CS2_108,785,Execute,Destroy a damaged enemy minion.,LEGACY,2013-01-13,,SPELL,WARRIOR,WARRIOR,FREE,1,0,0,0,0,NONE,,,Dany Orizio,False,2,False,3,CS2_108,"It's okay, he deserved it."
EX1_132,462,Eye for an Eye,"Secret: When your hero takes damage, deal that much damage to the enemy hero.",EXPERT1,2013-01-13,,SPELL,PALADIN,PALADIN,COMMON,1,0,0,0,0,HOLY,,SECRET,James Ryman,False,1,False,2,EX1_132,Justice sometimes takes the form of a closed fist into a soft cheek.
EX1_319,1090,Flame Imp,Battlecry: Deal 3 damage to your hero.,EXPERT1,2013-01-13,,MINION,WARLOCK,WARLOCK,COMMON,1,3,2,0,0,NONE,DEMON,BATTLECRY,Alex Horley Orlandelli,False,3,False,3,EX1_319,Imps like being on fire. They just do.
EX1_544,896,Flare,All minions lose Stealth. Destroy all enemy Secrets. Draw a card.,EXPERT1,2013-01-13,,SPELL,HUNTER,HUNTER,RARE,1,0,0,0,0,NONE,,,Tyler Walpole,False,2,False,2,EX1_544,"Not only does it reveal your enemies, but it's also great for parties!"
EX1_251,299,Forked Lightning,Deal 2 damage to 2 random enemy minions. Overload: (2),EXPERT1,2013-01-13,,SPELL,SHAMAN,SHAMAN,COMMON,1,0,0,0,0,NATURE,,OVERLOAD,Ralph Horsley,False,1,False,2,EX1_251,"If you combine it with Spooned Lightning and Knived Lightning, you have the full dining set."
CS2_037,971,Frost Shock,Deal 1 damage to an enemy character and Freeze it.,LEGACY,2013-01-13,,SPELL,SHAMAN,SHAMAN,FREE,1,0,0,0,0,FROST,,,Alex Horley Orlandelli,False,0,False,2,CS2_037,FROST SHOCK!
CS1_042,922,Goldshire Footman,Taunt,LEGACY,2013-01-13,,MINION,NEUTRAL,NEUTRAL,FREE,1,1,2,0,0,NONE,,TAUNT,Donato Giancola,False,0,False,2,CS1_042,"If 1/2 minions are all that is defending Goldshire, you would think it would have been overrun years ago."
EX1_508,510,Grimscale Oracle,Your other Murlocs have +1 Attack.,LEGACY,2013-01-13,,MINION,NEUTRAL,NEUTRAL,FREE,1,1,1,0,0,NONE,MURLOC,AURA,Phil Saunders,False,1,False,2,EX1_508,These are the brainy murlocs. It turns out that doesn’t mean much.
EX1_371,727,Hand of Protection,Give a minion Divine Shield.,LEGACY,2013-01-13,,SPELL,PALADIN,PALADIN,FREE,1,0,0,0,0,HOLY,,,Clint Langley,False,0,False,2,EX1_371,"This spell has been renamed so many times, even paladins don’t know what it should be called anymore."
CS1_130,279,Holy Smite,Deal 3 damage to a minion.,LEGACY,2013-01-13,,SPELL,PRIEST,PRIEST,FREE,1,0,0,0,0,HOLY,,,Steve Ellis,False,1,False,3,CS1_130,It doesn't matter how pious you are. Everyone needs a good smiting now and again.
EX1_360,854,Humility,Change a minion's Attack to 1.,LEGACY,2013-01-13,,SPELL,PALADIN,PALADIN,FREE,1,0,0,0,0,NONE,,,Daren Bader,False,0,False,2,EX1_360,"This card makes something really damp. Oh wait. That's ""Humidity."""
NEW1_017,443,Hungry Crab,Battlecry: Destroy a Murloc and gain +2/+2.,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,EPIC,1,1,2,0,0,NONE,BEAST,BATTLECRY,Jaemin Kim,False,0,False,2,NEW1_017,Murloc. It's what's for dinner.
CS2_084,141,Hunter's Mark,Change a minion's Health to 1.,LEGACY,2013-01-13,,SPELL,HUNTER,HUNTER,FREE,1,0,0,0,0,NONE,,,Jimmy Lo,False,6,False,2,CS2_084,Never play 'Hide and Go Seek' with a Hunter.
CS2_031,172,Ice Lance,"Freeze a character. If it was already Frozen, deal 4 damage instead.",EXPERT1,2013-01-13,,SPELL,MAGE,MAGE,COMMON,1,0,0,0,0,FROST,,,Alex Horley Orlandelli,False,0,False,2,CS2_031,"The trick is not to break the lance. Otherwise, you have ""Ice Pieces."" Ice Pieces aren't as effective."
CS1_129,376,Inner Fire,Change a minion's Attack to be equal to its Health.,EXPERT1,2013-01-13,,SPELL,PRIEST,PRIEST,COMMON,1,0,0,0,0,NONE,,,Steve Prescott,False,3,False,2,CS1_129,Good idea: Buffing your minions. Bad idea: Starting a conversation in the Barrens.
EX1_029,658,Leper Gnome,Deathrattle: Deal 2 damage to the enemy hero.,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,COMMON,1,2,1,0,0,NONE,,DEATHRATTLE,Glenn Rane,False,5,False,2,EX1_029,"He really just wants to be your friend, but the constant rejection is starting to really get to him."
CS2_091,383,Light's Justice,,LEGACY,2013-01-13,,WEAPON,PALADIN,PALADIN,FREE,1,1,4,0,0,NONE,,,Glenn Rane,False,1,False,2,CS2_091,Prince Malchezaar was a collector of rare weapons. He'd animate them and have them dance for him.
EX1_238,505,Lightning Bolt,Deal 3 damage. Overload: (1),EXPERT1,2013-01-13,,SPELL,SHAMAN,SHAMAN,COMMON,1,0,0,0,0,NATURE,,OVERLOAD,Daarken,False,0,False,3,EX1_238,Lightning Bolt! Lightning Bolt! Lightning Bolt!
EX1_001,1655,Lightwarden,"Whenever a character is healed, gain +2 Attack.",EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,RARE,1,1,2,0,0,NONE,DRAENEI,,Erik Ko,False,2,False,2,EX1_001,She’s smaller than her sisters Mediumwarden and Heavywarden.
NEW1_012,405,Mana Wyrm,"Whenever you cast a spell, gain +1 Attack.",EXPERT1,2013-01-13,,MINION,MAGE,MAGE,COMMON,1,1,3,0,0,NONE,,,Blizzard Cinematics,False,5,False,3,NEW1_012,"These wyrms feed on arcane energies, and while they are generally considered a nuisance rather than a real threat, you really shouldn't leave them alone with a bucket of mana."
CS2_003,1099,Mind Vision,Put a copy of a random card in your opponent's hand into your hand.,LEGACY,2013-01-13,,SPELL,PRIEST,PRIEST,FREE,1,0,0,0,0,SHADOW,,,Michael Komarck,False,2,False,2,CS2_003,I see what you did there.
CS2_027,1084,Mirror Image,Summon two 0/2 minions with Taunt.,LEGACY,2013-01-13,,SPELL,MAGE,MAGE,FREE,1,0,0,0,0,NONE,,,Jim Nelson,False,2,False,2,CS2_027,Oh hey it's Mirror Image! !egamI rorriM s'ti yeh hO
EX1_302,1092,Mortal Coil,"Deal 1 damage to a minion. If it dies, draw a card.",LEGACY,2013-01-13,,SPELL,WARLOCK,WARLOCK,FREE,1,0,0,0,0,SHADOW,,,Matt Gaser,False,1,False,3,EX1_302,"If your spells look like horrifying skulls, let's be honest, you should get to draw some cards."
CS2_168,191,Murloc Raider,,LEGACY,2013-01-13,,MINION,NEUTRAL,NEUTRAL,FREE,1,2,1,0,0,NONE,MURLOC,,Dan Scott,False,0,False,2,CS2_168,"Mrrraggglhlhghghlgh, mrgaaag blarrghlgaahahl mrgggg glhalhah a bghhll graggmgmg Garrosh mglhlhlh mrghlhlhl!!"
EX1_509,475,Murloc Tidecaller,"Whenever you summon a Murloc, gain +1 Attack.",EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,RARE,1,1,2,0,0,NONE,MURLOC,,Jaemin Kim,False,3,False,3,EX1_509,This guy gets crazy strong at family reunions.
EX1_161,233,Naturalize,Destroy a minion. Your opponent draws 2 cards.,EXPERT1,2013-01-13,,SPELL,DRUID,DRUID,COMMON,1,0,0,0,0,NATURE,,,Leo Che,False,3,False,2,EX1_161,Another one bites the dust.
EX1_130,584,Noble Sacrifice,"Secret: When an enemy attacks, summon a 2/1 Defender as the new target.",EXPERT1,2013-01-13,,SPELL,PALADIN,PALADIN,COMMON,1,0,0,0,0,NONE,,SECRET,Zoltan & Gabor,False,0,False,3,EX1_130,"We will always remember you, ""Defender!"""
CS2_235,1650,Northshire Cleric,"Whenever a minion is healed, draw a card.",LEGACY,2013-01-13,,MINION,PRIEST,PRIEST,COMMON,1,1,3,0,0,NONE,,,Terese Nielsen,False,2,False,3,CS2_235,They help the downtrodden and distressed. Also they sell cookies.
EX1_316,846,Power Overwhelming,"Give a friendly minion +4/+4 until end of turn. Then, it dies. Horribly.",EXPERT1,2013-01-13,,SPELL,WARLOCK,WARLOCK,COMMON,1,0,0,0,0,SHADOW,,,Tom Baxa,False,0,False,3,EX1_316,We cannot even describe how horrible the death is. It's CRAZY bad! Maybe worse than that. Just don't do it.
CS2_004,613,Power Word: Shield,Give a minion +2 Health. Draw a card.,LEGACY,2013-01-13,,SPELL,PRIEST,PRIEST,FREE,1,0,0,0,0,HOLY,,,Jessica Jung,False,5,False,3,CS2_004,"Sure the extra protection is nice, but the shield really reduces visibility."
EX1_136,140,Redemption,"Secret: When a friendly minion dies, return it to life with 1 Health.",EXPERT1,2013-01-13,,SPELL,PALADIN,PALADIN,COMMON,1,0,0,0,0,HOLY,,SECRET,Ittoku,False,1,False,2,EX1_136,I am not sure how you get demptioned the first time. It’s a mystery!
EX1_379,232,Repentance,"Secret: After your opponent plays a minion, reduce its Health to 1.",EXPERT1,2013-01-13,,SPELL,PALADIN,PALADIN,COMMON,1,0,0,0,0,HOLY,,SECRET,Gonzalo Ordonez,False,3,False,2,EX1_379,Repentance often comes in the moment before obliteration. Curious.
EX1_578,481,Savagery,Deal damage equal to your hero's Attack to a minion.,EXPERT1,2013-01-13,,SPELL,DRUID,DRUID,RARE,1,0,0,0,0,NONE,,,Dave Rapoza,False,3,False,2,EX1_578,"It is true that some druids are savage, but others still enjoy a quiet moment and a spot of tea."
EX1_080,158,Secretkeeper,"Whenever a Secret is played, gain +1/+1.",EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,RARE,1,1,2,0,0,NONE,,,Zoltan Boros,False,2,False,2,EX1_080,Where is Mankrik’s wife? She’ll never tell.
EX1_410,546,Shield Slam,Deal 1 damage to a minion for each Armor you have.,EXPERT1,2013-01-13,,SPELL,WARRIOR,WARRIOR,EPIC,1,0,0,0,0,NONE,,,Raymond Swanland,False,4,False,3,EX1_410,"""What is a better weapon? The sharp one your enemies expect, or the blunt one they ignore?"" - The Art of Warrior, Chapter 9"
EX1_405,866,Shieldbearer,Taunt,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,COMMON,1,0,4,0,0,NONE,DRAENEI,TAUNT,Carl Critchlow,False,4,False,2,EX1_405,Have you seen the size of the shields in this game?? This is no easy job.
CS2_075,710,Sinister Strike,Deal 3 damage to the enemy hero.,LEGACY,2013-01-13,,SPELL,ROGUE,ROGUE,FREE,1,0,0,0,0,NONE,,,Frank Cho,False,1,False,3,CS2_075,"There's something about this strike that just feels off. Sinister, even."
EX1_391,1074,Slam,"Deal 2 damage to a minion. If it survives, draw a card.",EXPERT1,2013-01-13,,SPELL,WARRIOR,WARRIOR,COMMON,1,0,0,0,0,NONE,,,E. M. Gist,False,1,False,3,EX1_391,"""Dun da dun, dun da dun"": if you've heard an ogre sing this, it's too late."
EX1_308,974,Soulfire,Deal 4 damage. Discard a random card.,LEGACY,2013-01-13,,SPELL,WARLOCK,WARLOCK,FREE,1,0,0,0,0,FIRE,,,Raymond Swanland,False,2,False,2,EX1_308,Are you lighting a soul on fire? Or burning someone with your OWN soul? This seems like an important distinction.
CS2_146,724,Southsea Deckhand,Has Charge while you have a weapon equipped.,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,COMMON,1,2,1,0,0,NONE,PIRATE,,Dan Brereton,False,0,False,3,CS2_146,"Pirates are into this new fad called ""Planking""."
CS2_171,648,Stonetusk Boar,Charge,LEGACY,2013-01-13,,MINION,NEUTRAL,NEUTRAL,FREE,1,1,1,0,0,NONE,BEAST,CHARGE,Howard Lyon,False,0,False,2,CS2_171,This card is boaring.
DS1_175,606,Timber Wolf,Your other Beasts have +1 Attack.,LEGACY,2013-01-13,,MINION,HUNTER,HUNTER,FREE,1,1,2,0,0,NONE,BEAST,AURA,Malcolm Davis,False,2,False,2,DS1_175,Other beasts totally dig hanging out with timber wolves.
DS1_184,1047,Tracking,Discover a card from your deck.,LEGACY,2013-01-13,,SPELL,HUNTER,HUNTER,FREE,1,0,0,0,0,NONE,,DISCOVER,Mauro Cascioli,False,2,False,3,DS1_184,For the person who just cannot decide what card to put into a deck!
EX1_409,511,Upgrade!,"If you have a weapon, give it +1/+1. Otherwise equip a 1/3 weapon.",EXPERT1,2013-01-13,,SPELL,WARRIOR,WARRIOR,RARE,1,0,0,0,0,NONE,,,Matt Cavotta,False,0,False,2,EX1_409,Easily worth 50 DKP.
CS2_065,48,Voidwalker,Taunt,LEGACY,2013-01-13,,MINION,WARLOCK,WARLOCK,FREE,1,1,3,0,0,NONE,DEMON,TAUNT,Alex Horley Orlandelli,False,0,False,3,CS2_065,"No relation to ""The Voidsteppers"", the popular Void-based dance troupe."
EX1_011,132,Voodoo Doctor,Battlecry: Restore 2 Health.,LEGACY,2013-01-13,,MINION,NEUTRAL,NEUTRAL,FREE,1,2,1,0,0,NONE,,BATTLECRY,Karl Richardson,False,2,False,3,EX1_011,Voodoo is an oft-misunderstood art. But it is art.
EX1_400,636,Whirlwind,Deal 1 damage to ALL minions.,LEGACY,2013-01-13,,SPELL,WARRIOR,WARRIOR,FREE,1,0,0,0,0,NONE,,,Jonboy Meyers,False,1,False,3,EX1_400,"The way to tell seasoned warriors from novice ones: the novices yell ""wheeeee"" while whirlwinding."
EX1_010,994,Worgen Infiltrator,Stealth,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,COMMON,1,2,1,0,0,NONE,,STEALTH,Raymond Swanland,False,0,False,3,EX1_010,"If you want to stop a worgen from infiltrating, just yell, ""No! Bad boy!"""
CS2_169,641,Young Dragonhawk,Windfury,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,COMMON,1,1,1,0,0,NONE,BEAST,WINDFURY,Greg Hildebrandt,False,0,False,2,CS2_169,They were the inspiration for the championship Taurenball team: The Dragonhawks.
EX1_004,1634,Young Priestess,"At the end of your turn, give another random friendly minion +1 Health.",EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,RARE,1,2,1,0,0,NONE,,,Vance Kovacs,False,2,False,3,EX1_004,She can't wait to learn Power Word: Fortitude Rank 2.
EX1_066,906,Acidic Swamp Ooze,Battlecry: Destroy your opponent's weapon.,LEGACY,2013-01-13,,MINION,NEUTRAL,NEUTRAL,FREE,2,3,2,0,0,NONE,,BATTLECRY,Chris Rahn,False,0,False,3,EX1_066,Oozes love Flamenco. Don't ask.
EX1_393,790,Amani Berserker,Has +3 Attack while damaged.,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,COMMON,2,2,3,0,0,NONE,,,Chippy,False,1,False,2,EX1_393,"If an Amani berserker asks ""Joo lookin' at me?!"", the correct response is ""Nah, mon""."
CS2_038,404,Ancestral Spirit,"Give a minion ""Deathrattle: Resummon this minion.""",EXPERT1,2013-01-13,,SPELL,SHAMAN,SHAMAN,RARE,2,0,0,0,0,NONE,,,Zoltan & Gabor,False,1,False,2,CS2_038,It was just a flesh wound.
EX1_045,605,Ancient Watcher,Can't attack.,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,RARE,2,4,5,0,0,NONE,,,Richard Wright,False,1,False,2,EX1_045,Why do its eyes seem to follow you as you walk by?
CS2_025,447,Arcane Explosion,Deal 1 damage to all enemy minions.,LEGACY,2013-01-13,,SPELL,MAGE,MAGE,FREE,2,0,0,0,0,ARCANE,,,Howard Lyon,False,0,False,2,CS2_025,This spell is much better than Arcane Implosion.
EX1_362,1022,Argent Protector,Battlecry: Give a friendly minion Divine Shield.,EXPERT1,2013-01-13,,MINION,PALADIN,PALADIN,COMMON,2,3,2,0,0,NONE,,BATTLECRY,Doug Alexander,False,1,False,3,EX1_362,"""I'm not saying you can dodge fireballs. I'm saying with this shield, you won't have to."""
EX1_402,596,Armorsmith,"Whenever a friendly minion takes damage, gain 1 Armor.",EXPERT1,2013-01-13,,MINION,WARRIOR,WARRIOR,RARE,2,1,4,0,0,NONE,,,Greg Hildebrandt,False,3,False,3,EX1_402,She accepts guild funds for repairs!
EX1_392,400,Battle Rage,Draw a card for each damaged friendly character.,EXPERT1,2013-01-13,,SPELL,WARRIOR,WARRIOR,COMMON,2,0,0,0,0,NONE,,,Alex Horley Orlandelli,False,3,False,2,EX1_392,"""You won't like me when I'm angry."""
EX1_126,282,Betrayal,Force an enemy minion to deal its damage to the minions next to it.,EXPERT1,2013-01-13,,SPELL,ROGUE,ROGUE,COMMON,2,0,0,0,0,NONE,,,Lucas Graciano,False,3,False,2,EX1_126,"Everyone has a price. Gnomes, for example, can be persuaded by stuffed animals and small amounts of chocolate."
CS2_233,1064,Blade Flurry,Destroy your weapon and deal its damage to all enemy minions.,EXPERT1,2013-01-13,,SPELL,ROGUE,ROGUE,RARE,2,0,0,0,0,NONE,,,Hideaki Takamura,False,4,False,2,CS2_233,"""Look, it's not just about waving daggers around really fast. It's a lot more complicated than that."" - Shan, Rogue Trainer"
CS2_172,216,Bloodfen Raptor,,LEGACY,2013-01-13,,MINION,NEUTRAL,NEUTRAL,FREE,2,3,2,0,0,NONE,BEAST,,Dan Brereton,False,0,False,2,CS2_172,"""Kill 30 raptors."" - Hemet Nesingwary"
EX1_012,749,Bloodmage Thalnos,Spell Damage +1 Deathrattle: Draw a card.,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,LEGENDARY,2,1,1,0,0,NONE,UNDEAD,DEATHRATTLE|SPELL_DAMAGE,Alex Horley Orlandelli,True,3,False,3,EX1_012,He's in charge of the Annual Scarlet Monastery Blood Drive!
NEW1_018,999,Bloodsail Raider,Battlecry: Gain Attack equal to the Attack of your weapon.,EXPERT1,2013-01-13,,MINION,NEUTRAL,NEUTRAL,COMMON,2,2,3,0,0,NONE,PIRATE,BATTLECRY,Jim Nelson,False,0,False,3,NEW1_018,"""I only plunder on days that end in 'y'."""
CS2_173,739,Bluegill Warrior,Charge,LEGACY,2013-01-13,,MINION,NEUTRAL,NEUTRAL,FREE,2,2,1,0,0,NONE,MURLOC,CHARGE,Jakub Kasper,False,0,False,2,CS2_173,He just wants a hug. A sloppy... slimy... hug.
NEW1_016,530,Captain's Parrot,Battlecry: Draw a Pirate from your deck.,LEGACY,2013-01-13,,MINION,NEUTRAL,NEUTRAL,EPIC,2,1,1,0,0,NONE,BEAST,BATTLECRY,Daren Bader,False,3,False,2,NEW1_016,Pirates and Parrots go together like Virmen and Carrots.
CS2_114,940,Cleave,Deal 2 damage to two random enemy minions.,LEGACY,2013-01-13,,SPELL,WARRIOR,WARRIOR,FREE,2,0,0,0,0,NONE,,,Phroilan Gardner,False,1,False,2,CS2_114,Hey you two…could you stand next to each other for a second…
